,QID,Name,P21,P21ref,P91,P91ref,P6553,P6553ref,pronounsEn
627316,Q21067165,Lidia Yuknavitch,female,,bisexuality,,,,
628392,Q256038,Emily Saliers,female,,lesbianism,,,,
628732,Q2635576,Paola Concia,female,,lesbianism,,,,
629161,Q6136416,Susel Paredes,female,,lesbianism,,,,
629377,Q8777371,Ernesto Gasco,male,,gay,,,,
631168,Q507809,Andrew Sullivan,male,,homosexuality,,,,
633648,Q96820,Johannes Kahrs,male,,homosexuality,,,,
634103,Q3370608,Paul Bellini,male,,gay,,,,
636289,Q451095,Brian Boitano,male,,homosexuality,,,,
636893,Q5350651,El-Farouk Khaki,male,,gay,,,,
637108,Q7301768,Rebecca Heineman,transgender female,,lesbianism,,L484,,she/her
638780,Q230138,Tatum O'Neal,female,,bisexuality,,,,
640010,Q14954805,Mark Harris,male,,homosexuality,,,,
643087,Q60458891,Brahim Naït-Balk,male,,gay,,,,
643920,Q460852,Wendy Melvoin,female,,lesbianism,,,,
645083,Q2997298,Corinne Bouchoux,female,,lesbianism,,,,
645236,Q3296444,María Galindo,female,,lesbianism,,,,
645855,Q4893838,Juan Antonio González Iglesias,male,,homosexuality,,,,
646421,Q5984700,Luisgé Martín,male,,homosexuality,,,,
646501,Q6048829,Odette Alonso,female,,lesbianism,,,,
650240,Q19358364,Thomas Welton,male,,homosexuality,,,,
650595,Q20890639,Marta Higueras,female,,lesbianism,,,,
650596,Q20890639,Marta Higueras,female,,homosexuality,,,,
655942,Q81008853,Robert S. Gilchrist,male,,gay,,,,
656293,Q91655944,Shahin Shahablou,male,,homosexuality,,,,
656851,Q94667384,Pedro Artieda,male,,gay,,,,
659218,Q106435279,Robert J. Vezina,male,,gay,,,,
660205,Q233332,Gigi Fernández,female,,lesbianism,,,,
660260,Q460330,Carolina Morace,female,,lesbianism,,,,
660288,Q553089,David Kato,male,,homosexuality,,,,
660289,Q553089,David Kato,male,,homosexuality,,,,
660581,Q2483662,Gengoroh Tagame,male,,gay,,,,
662180,Q63243005,Fiona Shaw,female,,gay,,,,
662836,Q187814,Tracy Chapman,female,,lesbianism,,,,
662847,Q237194,Wanda Sykes,female,,lesbianism,,,,
662874,Q362638,Alberto Fuguet,male,,homosexuality,,,,
662875,Q362638,Alberto Fuguet,male,,homosexuality,,,,
666102,Q2844575,Amy Ray,genderqueer,,lesbianism,,,,
669096,Q4221522,Caitlín R. Kiernan,transgender female,,lesbianism,,L371,,they/them
669228,Q6207953,Jodie Cooper,female,,homosexuality,,,,
670445,Q56755369,Anson Mackay,male,,homosexuality,,,,
671105,Q609458,Ben Daniels,male,,homosexuality,,,,
671163,Q1055997,Dimitris Papaioannou,male,,homosexuality,,,,
671329,Q258525,Lisa Cholodenko,female,,lesbianism,,,,
671399,Q1996478,Peter Rehwinkel,male,,homosexuality,,,,
671665,Q4124233,Dmitry Volchek,male,,gay,,,,
674714,Q7933271,Violet Palmer,female,,lesbianism,,,,
675390,Q24955373,Rocco Steele,male,,homosexuality,,,,
679009,Q260752,Jeanna Fine,female,,non-heterosexuality,,,,
679489,Q3893646,Paola Turci,female,,non-heterosexuality,,,,
681580,Q40143,Janeane Garofalo,female,,asexuality,,,,
681713,Q649667,Dan Savage,male,,gay,,,,
683143,Q19887434,Purificación Causapié,female,,lesbianism,,,,
684234,Q186840,Brenda Fassie,female,,bisexuality,,,,
684538,Q2539282,Waheed Alli,male,,gay,,,,
686707,Q68822,Hape Kerkeling,male,,homosexuality,,,,
686929,Q1531158,Angela James,female,,lesbianism,,,,
687673,Q10262872,Cássio Scapin,male,,homosexuality,,,,
687674,Q10262872,Cássio Scapin,male,,gay,,,,
688833,Q75818970,Neale Hanvey,male,,homosexuality,,,,
689300,Q316629,Alan Cumming,male,,bisexuality,,,,
689302,Q318511,Bjørn Lomborg,male,,homosexuality,,,,
689397,Q520324,Jill Sobule,female,,bisexuality,,,,
691907,Q6179143,Jenny Allard,female,,lesbianism,,,,
696243,Q22277033,Sheri Benson,female,,lesbianism,,,,
699338,Q61350200,Rodney Wilson,male,,gay,,,,
699343,Q61436749,Madeleine Olnek,female,,lesbianism,,,,
699573,Q63300811,Luisa Broto,female,,lesbianism,,,,
705783,Q3185915,Josephine Wiggs,female,,lesbianism,,,,
708431,Q4897617,Beth Robinson,female,,lesbianism,,,,
710533,Q236125,Linda Perry,female,,lesbianism,,,,
710589,Q467339,Mayte Martín,female,,lesbianism,,,,
710590,Q467339,Mayte Martín,female,,homosexuality,,,,
713168,Q573674,Sherry Wolf,female,,lesbianism,,,,
713248,Q1145143,Guido Maria Kretschmer,male,,homosexuality,,,,
715065,Q56309172,Barbara Lanthemann,female,,lesbianism,,,,
715659,Q96475328,Mary L. Trump,female,,homosexuality,,,,
715761,Q51448,Harald Glööckler,male,,homosexuality,,,,
715902,Q289097,Linda Medalen,female,,lesbianism,,,,
716295,Q3369143,Patricia Racette,female,,homosexuality,,,,
716772,Q7500359,Shonali Bose,female,,bisexuality,,,,
718268,Q61174,Sabine Braun,female,,lesbianism,,,,
718457,Q465927,Daniela Mercury,female,,non-heterosexuality,,,,
719617,Q14629265,Scott Kennedy,male,,gay,,,,
721071,Q974824,Crystal Chappell,female,,non-heterosexuality,,,,
721421,Q3804765,Ivan Scalfarotto,male,,homosexuality,,,,
721546,Q4932698,Bob Harper,male,,homosexuality,,,,
721751,Q6384092,Keith Boykin,male,,gay,,,,
721941,Q10281265,Fernando Bengoechea,male,,homosexuality,,,,
723532,Q220751,Bryan Singer,male,,bisexuality,,,,
723568,Q382683,Manvendra Singh Gohil,male,,homosexuality,,,,
723661,Q771690,Joey Soloway,non-binary,,homosexuality,,L371,,they/them
723681,Q942570,Jesús Vázquez,male,,homosexuality,,,,
724419,Q7321350,Rhona Cameron,female,,lesbianism,,,,
726358,Q217087,Adriana Calcanhotto,female,,lesbianism,,,,
726801,Q6106759,J. Paul Oetken,male,,homosexuality,,,,
728627,Q88919704,Jörn Kubicki,male,,homosexuality,,,,
728743,Q316844,Ryan Murphy,male,,gay,,,,
730583,Q59354793,Jide Macaulay,male,,gay,,,,
731227,Q367094,Andy Dick,male,,bisexuality,,,,
731500,Q2432328,Toon Mans,male,,homosexuality,,,,
733720,Q1027645,Edel Therese Høiseth,female,,lesbianism,,,,
734166,Q1677269,Jackie Biskupski,female,,lesbianism,,,,
734464,Q2389615,Adi Nes,male,,homosexuality,,,,
735600,Q5224992,Darren Johnson,male,,homosexuality,,,,
735967,Q5717668,Henry Badenhorst,male,,gay,,,,
738858,Q17541357,Roberta A. Kaplan,female,,lesbianism,,,,
742504,Q59741581,José Vicente Moirón,male,,bisexuality,,,,
743193,Q67080245,Marischka Verbeek,female,,bisexuality,,,,
747163,Q102962693,Pablo Pérez,male,,homosexuality,,,,
749873,Q56702135,John Blair,male,,gay,,,,
750515,Q77772,Anne Will,female,,lesbianism,,,,
750529,Q127764,David Daniels,male,,homosexuality,,,,
750682,Q958106,Jeremy Sheffield,male,,gay,,,,
751239,Q5292992,Don Lemon,male,,homosexuality,,,,
752068,Q19882967,Joanna Cherry,female,,lesbianism,,,,
753061,Q97694951,Alexandra Potvin,female,,lesbianism,,,,
753218,Q228725,Cynthia Nixon,female,,bisexuality,,,,
753219,Q228725,Cynthia Nixon,female,,lesbianism,,,,
753266,Q464052,Samantha Fox,female,,lesbianism,,,,
753269,Q470957,André Boisclair,male,,homosexuality,,,,
754168,Q9034911,Montserrat Oliver,female,,bisexuality,,,,
755854,Q168555,Alison Goldfrapp,female,,bisexuality,,,,
759901,Q47460009,Maureen Ryan,female,,bisexuality,,,,
760651,Q237555,Sarah Waters,female,,lesbianism,,,,
760913,Q2141319,Netinho,male,,bisexuality,,,,
760925,Q2262244,Sean Patrick Maloney,male,,gay,,,,
761562,Q9029499,Marta Dillon,female,,lesbianism,,,,
762132,Q23419417,James Obergefell,male,,homosexuality,,,,
765525,Q237555,Sarah Waters,female,,lesbianism,,,,
765891,Q3187429,Joël Legendre,male,,homosexuality,,,,
766342,Q7326068,Richard Grenell,male,,homosexuality,,,,
766406,Q7982634,Wendy Curry,female,,bisexuality,,,,
766452,Q10546516,Jill Ellis,female,,non-heterosexuality,,,,
767961,Q464612,Bai Ling,female,,bisexuality,,,,
767980,Q560286,Mark Gatiss,male,,homosexuality,,,,
768571,Q5613389,Jonathan Crombie,male,,gay,,,,
769649,Q47455284,Gjert Rognli,male,,homosexuality,,,,
771132,Q7103501,Orna Banai,female,,lesbianism,,,,
771531,Q16301005,Antonio Maíllo,male,,homosexuality,,,,
773253,Q5363059,Elizabeth Keener,female,,lesbianism,,,,
775021,Q276662,Pepón Nieto,male,,homosexuality,,,,
778117,Q7765045,Julia Serano,transgender female,,bisexuality,,,,
781323,Q23676115,Humberto Mata Espinel,male,,homosexuality,,,,
782754,Q47111443,Anna Anita Hivand,female,,bisexuality,,,,
784536,Q64861278,Detlef Georgia Schulze,transgender female,,lesbianism,,,,
789800,Q311300,Colin Jackson,male,,homosexuality,,,,
789861,Q581617,Fernando Tejero,male,,homosexuality,,,,
790417,Q6160752,Verónica Zavala,female,,lesbianism,,,,
790542,Q7302012,Rebekka Armstrong,female,,bisexuality,,,,
791976,Q85563,Michael Mronz,male,,gay,,,,
792044,Q465626,Olivier Minne,male,,bisexuality,,,,
792668,Q5568842,Glenn Greenwald,male,,homosexuality,,,,
794388,Q24632,John Barrowman,male,,homosexuality,,,,
794520,Q229220,Maria Bello,female,,bisexuality,,,,
795045,Q4232577,Cat Cora,female,,lesbianism,,,,
796110,Q28777503,Eleanor Dickey,female,,non-heterosexuality,,,,
797070,Q526387,Allison Adler,female,,lesbianism,,,,
797666,Q5372872,Emma Kennedy,female,,lesbianism,,,,
799585,Q316997,Anderson Cooper,male,,homosexuality,,,,
799599,Q432710,Jenny Shimizu,female,,lesbianism,,,,
799699,Q1038847,Carl Hester,male,,homosexuality,,,,
801208,Q30123147,Elizabeth Wettlaufer,female,,bisexuality,,,,
802020,Q105111,Miriam Meckel,female,,lesbianism,,,,
802240,Q2491437,Nina Bouraoui,female,,homosexuality,,,,
802730,Q5876658,Gema Victoria Hassen-Bey González,female,,lesbianism,,,,
804521,Q238020,Skin,female,,bisexuality,,,,
804677,Q1044329,Carolin Emcke,female,,homosexuality,,,,
804782,Q1703833,Jorge González,male,,homosexuality,,,,
804898,Q2837716,Allan Heinberg,male,,gay,,,,
805530,Q7493765,Shelley Beattie,female,,bisexuality,,,,
807015,Q73761,Kimberly Peirce,female,,lesbianism,,,,
807029,Q115271,Vera Int-Veen,female,,lesbianism,,,,
807039,Q178527,Arpad Miklos,male,,homosexuality,,,,
808795,Q48924599,David Adger,male,,homosexuality,,,,
809599,Q521131,Frédéric Martel,male,,homosexuality,,,,
809632,Q705525,Peter Thiel,male,,homosexuality,,,,
810192,Q3082132,Franck Ferrand,male,,homosexuality,,,,
811952,Q266535,François Ozon,male,,homosexuality,,,,
812016,Q645895,Róbert Alföldi,male,,homosexuality,,,,
814504,Q2295331,Carolien Gehrels,female,,homosexuality,,,,
816606,Q242051,Irshad Manji,female,,lesbianism,,,,
816671,Q445381,Marnie McBean,female,,lesbianism,,,,
816672,Q445381,Marnie McBean,female,,homosexuality,,,,
816856,Q973814,Sébastien Lifshitz,male,,gay,,,,
817049,Q1449130,Gábor Szetey,male,,homosexuality,,,,
817434,Q2369380,Dmitry Kuzmin,male,,homosexuality,,,,
818493,Q5271601,Diane Whipple,female,,lesbianism,,,,
820617,Q12388331,Fefa Vila,female,,lesbianism,,,,
822484,Q21480659,Clara Asunción García,female,,lesbianism,,,,
822500,Q21514461,Vitor Angelo Scippe,male,,homosexuality,,,,
825048,Q56402324,Isabel García Sánchez,female,,lesbianism,,,,
825721,Q63729668,Uge Sangil,non-binary,,lesbianism,,,,
827120,Q79860692,Peggy Piesche,female,,lesbianism,,,,
831039,Q299898,Allison Fisher,female,,non-heterosexuality,,,,
831622,Q4898164,Beto Ortiz,male,,homosexuality,,,,
831993,Q10346767,Paulo Rangel,male,,homosexuality,,,,
833456,Q360550,Jaye Davidson,male,,gay,,,,
834681,Q13234274,Diane Anderson-Minshall,female,,bisexuality,,,,
834682,Q13234274,Diane Anderson-Minshall,female,,lesbianism,,,,
834709,Q15122243,Spencer Cox,male,,gay,,,,
836272,Q1689375,Jimmy Joe,male,,bisexuality,,,,
836609,Q4717531,Alex Munter,male,,gay,,,,
838580,Q447584,Guinevere Turner,female,,homosexuality,,,,
839066,Q4429434,Sergey Sosedov,male,,homosexuality,,,,
839492,Q10316183,Lan Lan,female,,lesbianism,,,,
839493,Q10316183,Lan Lan,female,,homosexuality,,,,
841164,Q533227,Anneli Andelén,female,,non-heterosexuality,,,,
841378,Q2014922,Andy Cohen,male,,homosexuality,,,,
843515,Q179988,Nikki Sinclaire,transgender female,,lesbianism,,,,
843603,Q536653,Jillian Armenante,female,,lesbianism,,,,
843705,Q1367571,Esera Tuaolo,male,,homosexuality,,,,
843771,Q1894687,Arno Brok,male,,homosexuality,,,,
843781,Q2020790,John Grant,male,,gay,,,,
843808,Q2275912,Ann Ceurvels,female,,bisexuality,,,,
844210,Q6152368,Jane Hazlegrove,female,,lesbianism,,,,
844665,Q13534694,Eric Fanning,male,,homosexuality,,,,
845319,Q61771474,Yanai Yechiel,male,,homosexuality,,,,
846587,Q5389151,Erin Hamilton,female,,bisexuality,,,,
846721,Q6443469,Kumar,male,,homosexuality,,,,
850903,Q229121,Jana Novotná,female,,lesbianism,,,,
851828,Q10303857,Isabella Taviani,female,,homosexuality,,,,
853368,Q456759,Penny Wong,female,,homosexuality,,,,
853401,Q590112,Jonathan Knight,male,,homosexuality,,,,
854005,Q6056675,Pachi Valle Riestra,female,,lesbianism,,,,
854150,Q7322642,Ricardo Fort,male,,bisexuality,,,,
855635,Q257243,Margaret Cho,female,,bisexuality,,,,
855904,Q2369380,Dmitry Kuzmin,male,,homosexuality,,,,
856325,Q6381786,Kazuyo Katsuma,female,,lesbianism,,,,
859971,Q5525102,Gary Frisch,male,,homosexuality,,,,
860607,Q6886262,Mo Rocca,male,,homosexuality,,,,
860902,Q7613212,Steve MacIsaac,male,,gay,,,,
863087,Q18331832,Françoise-Marie Santucci,female,,lesbianism,,,,
863164,Q18694629,Anna Morottaja,female,,lesbianism,,,,
863638,Q21175172,Danielle LoPresti,female,,bisexuality,,,,
864639,Q28792781,Francis Lee,male,,homosexuality,,,,
872205,Q265646,Anja Andersen,female,,lesbianism,,,,
872986,Q6812913,Melissa York,female,,lesbianism,,,,
874509,Q207939,Alexander McQueen,male,,homosexuality,,,,
874513,Q231815,Pauley Perrette,female,,asexuality,,,,
874561,Q442226,Mary Cheney,female,,lesbianism,,,,
875242,Q5791579,Cristián Cuevas,male,,gay,,,,
877142,Q333012,Justine Greening,female,,lesbianism,,,,
879630,Q234610,Anne Heche,female,,bisexuality,,,,
879662,Q350223,Joop Wijn,male,,homosexuality,,,,
880152,Q3979920,Tabatha Coffey,female,,lesbianism,,,,
880307,Q4579886,Håkon Haugli,male,,homosexuality,,,,
880445,Q6389389,Kenji Yoshino,male,,gay,,,,
882282,Q295015,Virginie Despentes,female,,lesbianism,,,,
882385,Q919229,Peter Paige,male,,gay,,,,
883440,Q12810095,Jane Hill,female,,lesbianism,,,,
883835,Q28376035,Mollena Williams-Haas,female,,BDSM,,,,
884729,Q995026,Bryan Fuller,male,,gay,,,,
884903,Q258980,Alexandra Hedison,female,,lesbianism,,,,
887181,Q236114,Tanita Tikaram,female,,non-heterosexuality,,,,
889602,Q87648,Sebastian Edathy,male,,homosexuality,,,,
889707,Q541883,Shamim Sarif,female,,lesbianism,,,,
890092,Q3389748,Yury Humyanyuk,male,,homosexuality,,,,
890268,Q4768197,Anne Burrell,female,,homosexuality,,,,
890279,Q4913177,Billy Porter,male,,gay,,,,
890614,Q7634236,Sue Perkins,female,,lesbianism,,,,
890922,Q11927262,Jaume Collboni Cuadrado,male,,homosexuality,,,,
891290,Q26251615,Darcy Sterling,female,,lesbianism,,,,
892230,Q804003,Balázs Birtalan,male,,homosexuality,,,,
892984,Q6961153,Hagai Elad,male,,homosexuality,,,,
894574,Q52255,Emma Donoghue,female,,lesbianism,,,,
894677,Q468676,Rebecca Walker,female,,bisexuality,,,,
894804,Q2470009,Carson Kressley,male,,homosexuality,,,,
895514,Q9155366,Anna Laszuk,female,,lesbianism,,,,
896175,Q30127847,Horacio Roque Ramírez,male,,gay,,,,
899820,Q744701,Chris Kanyon,male,,homosexuality,,,,
900325,Q2133896,Jennifer Baumgardner,female,,bisexuality,,,,
901573,Q5370033,Ember Swift,female,,non-heterosexuality,,,,
902295,Q6414108,Kinnie Starr,female,,bisexuality,,,,
905996,Q23674475,Alice Dodd,female,,lesbianism,,,,
911251,Q83796400,Mounir Baatour,male,,gay,,,,
911494,Q88386281,Nashom Wooden,male,,gay,,,,
915480,Q1312739,Titti De Simone,female,,lesbianism,,,,
915658,Q2941004,Casey Spooner,male,,homosexuality,,,,
915834,Q4328437,Niecy Nash,female,,bisexuality,,,,
917718,Q553621,Paul Oscar,male,,homosexuality,,,,
917835,Q1292304,Edward Gal,male,,homosexuality,,,,
918002,Q2942192,Cathy DeBuono,female,,lesbianism,,,,
918372,Q5771765,Claudia López Hernández,female,,lesbianism,,,,
918453,Q6393807,Keren Neubach,female,,bisexuality,,,,
920281,Q434878,Thea Gill,female,,bisexuality,,,,
921112,Q7409379,Sami Lukis,female,,sapiosexuality,,,,
922800,Q983156,Mark Foster,male,,homosexuality,,,,
923005,Q2851256,Anne Rambach,female,,lesbianism,,,,
923092,Q3479651,Sergio Coronado,male,,homosexuality,,,,
923154,Q3849446,Mark Bingham,male,,homosexuality,,,,
923556,Q7153629,Paul Sinha,male,,homosexuality,,,,
923645,Q7932109,Vincent Wijeysingha,male,,homosexuality,,,,
924430,Q30335035,Laurence Vanceunebrock-Mialon,female,,lesbianism,,,,
925428,Q1181049,Dean DeBlois,male,,gay,,,,
925462,Q1378351,Mike White,male,,bisexuality,,,,
926278,Q9182284,Chen Xue,female,,lesbianism,,,,
926727,Q18415047,Pierre Jean Chalençon,male,,bisexuality,,,,
927639,Q108670762,Walter Gómez Ronquillo,male,,homosexuality,,,,
927823,Q448950,Devin K. Grayson,female,,bisexuality,,,,
928059,Q2086261,Phil Jimenez,male,,homosexuality,,,,
928217,Q3328870,Jorge Javier Vázquez,male,,homosexuality,,,,
930626,Q1929074,Michael Roth,male,,homosexuality,,,,
930861,Q2323271,Leanna Creel,female,,lesbianism,,,,
931597,Q13561702,Patrice Pike,female,,bisexuality,,,,
931882,Q20882938,Sharon Afek,male,,homosexuality,,,,
932820,Q271590,Ione Skye,female,,non-heterosexuality,,,,
933439,Q4767435,Anna Richardson,female,,non-heterosexuality,,,,
934859,Q64853358,Thomas J. Brown,male,,homosexuality,,,,
935323,Q240454,Savannah,female,,non-heterosexuality,,,,
935365,Q438355,Chely Wright,female,,homosexuality,,,,
935445,Q747697,Raúl Esparza,male,,bisexuality,,,,
937812,Q455240,Diana King,female,,lesbianism,,,,
937864,Q706052,John Amaechi,male,,homosexuality,,,,
938421,Q5559363,David Delfín,male,,homosexuality,,,,
939003,Q16202905,Bill Konigsberg,male,,gay,,,,
940819,Q5386013,Eric Alva,male,,gay,,,,
941364,Q12750864,Dejan Nebrigić,male,,homosexuality,,,,
942637,Q240901,Patricia Velásquez,female,,lesbianism,,,,
942722,Q515408,Andrzej Piaseczny,male,,homosexuality,,,,
942816,Q771072,Paul Masvidal,male,,homosexuality,,,,
942837,Q864094,Binyavanga Wainaina,male,,homosexuality,,,,
944335,Q5126116,Clare Balding,female,,lesbianism,,,,
944771,Q6035335,Máximo Huerta Hernández,male,,homosexuality,,,,
944838,Q6118148,Jaclyn Friedman,female,,bisexuality,,,,
945218,Q6900140,Monifah,female,,non-heterosexuality,,,,
948562,Q22920142,Bob Pop,male,,homosexuality,,,,
951539,Q63039729,Satya Rhodes-Conway,female,,lesbianism,,,,
957260,Q459542,Angela Robinson,female,,lesbianism,,,,
959604,Q270683,Sheryl Swoopes,female,,non-heterosexuality,,,,
960623,Q7801308,Tig Notaro,female,,lesbianism,,,,
960992,Q16189675,Antoni Comín i Oliveres,male,,homosexuality,,,,
962475,Q1939848,Rik van de Westelaken,male,,homosexuality,,,,
964896,Q911984,Nicolas Ghesquière,male,,homosexuality,,,,
965096,Q2517793,Sean Reinert,male,,gay,,,,
967646,Q2552753,Billie Myers,female,,bisexuality,,,,
967653,Q2609520,Nigel Owens,male,,homosexuality,,,,
967729,Q3264768,Luc Carvounas,male,,homosexuality,,,,
967925,Q4924759,Blanca Inés Durán Hernández,female,,lesbianism,,,,
972704,Q3299611,Carmo Dalla Vecchia,male,,homosexuality,,,,
972735,Q3456022,Rémi Féraud,male,,homosexuality,,,,
972896,Q4724974,Ali Liebegott,female,,lesbianism,,,,
974878,Q513870,Nate Berkus,male,,homosexuality,,,,
976393,Q18684443,Anne Le Nen,female,,non-heterosexuality,,,,
976394,Q18684443,Anne Le Nen,female,,lesbianism,,,,
977284,Q270739,Elif Şafak,female,,bisexuality,,,,
977503,Q1543207,Grant Robertson,male,,homosexuality,,,,
978258,Q8073285,Zoe Lyons,female,,lesbianism,,,,
980532,Q7421757,Sara Ryan,female,,bisexuality,,,,
981360,Q61876224,Carrie Ann Lucas,female,,lesbianism,,,,
982019,Q128799,Ricky Martin,male,,homosexuality,,,,
983038,Q12004862,Søren Pape Poulsen,male,,gay,,,,
983286,Q18328171,Gloria Casarez,female,,lesbianism,,,,
984439,Q636917,Javier Maroto,male,,homosexuality,,,,
984451,Q692315,Daniel Kawczynski,male,,homosexuality,,,,
986720,Q6837198,Michelle Paradise,female,,lesbianism,,,,
988446,Q16173112,Han Chae-yoon,female,,lesbianism,,,,
991463,Q47486826,Constance Debré,female,,lesbianism,,,,
997201,Q104531006,Golda Rosheuvel,female,,gay,,,,
998467,Q712592,Billie Joe Armstrong,male,,bisexuality,,,,
998802,Q3496409,Pedro Zamora,male,,gay,,,,
999192,Q6688567,Louisa Wall,female,,lesbianism,,,,
1000226,Q58324174,Angie Craig,female,,lesbianism,,,,
1000799,Q274070,Alejandro Amenábar,male,,homosexuality,,,,
1000890,Q663437,Yasmine,female,,lesbianism,,,,
1005214,Q29667844,James Jentsch,male,,gay,,,,
1005843,Q26668,Raymond Chan,male,,gay,,,,
1006042,Q978649,Greg Berlanti,male,,homosexuality,,,,
1006111,Q1515933,Gerwald Claus-Brunner,male,,homosexuality,,,,
1006311,Q3299673,Víctor Noriega,male,,homosexuality,,,,
1008503,Q484662,Wentworth Miller,male,,gay,,,,
1008964,Q4025476,Óscar Esquivias,male,,homosexuality,,,,
1011019,Q1246992,Gabriel Garko,male,,homosexuality,,,,
1011416,Q4289220,Margarita Maratovna Meklina,female,,homosexuality,,,,
1011665,Q6307327,Julian Koster,male,,non-heterosexuality,,,,
1012493,Q25418647,Rachel Hartman,female,,bisexuality,,L484,,she/her
1013433,Q1209452,Devon Hughes,male,,gay,,,,
1014701,Q18145780,Krzysztof Charamsa,male,,gay,,,,
1015912,Q269925,Conor Burns,male,,homosexuality,,,,
1016297,Q5389145,Erin Fitzgerald,female,,pansexuality,,,,
1016298,Q5389145,Erin Fitzgerald,female,,bisexuality,,,,
1016685,Q6846614,Mike Doyle,male,,homosexuality,,,,
1019513,Q19521883,Erika Farías,female,,gay,,,,
1020992,Q4450151,Corin Tucker,female,,bisexuality,,,,
1022710,Q223741,Brian Molko,male,,bisexuality,,,,
1023050,Q2903359,Dana Olmert,female,,lesbianism,,,,
1023095,Q3193925,Katarzyna Adamik,female,,lesbianism,,,,
1024235,Q30351663,Matthieu Orphelin,male,,homosexuality,,,,
1025173,Q215366,Portia de Rossi,female,,lesbianism,,,,
1025313,Q1066869,Charlie Condou,male,,gay,,,,
1026495,Q4746083,Ami Cusack,female,,non-heterosexuality,,,,
1026635,Q5199112,Cyd Zeigler,male,,gay,,,,
1026735,Q5402386,Etai Pinkas,male,,homosexuality,,,,
1029500,Q17309225,Jörn Weisbrodt,male,,non-heterosexuality,,,,
1040782,Q190972,Jim Parsons,male,,homosexuality,,,,
1040879,Q561213,Xavier Bettel,male,,homosexuality,,,,
1041080,Q2057654,Patrick Harvie,male,,bisexuality,,,,
1041153,Q2846620,Andrew Haigh,male,,homosexuality,,,,
1042139,Q15731273,Santi Vila i Vicente,male,,homosexuality,,,,
1043306,Q40032,T. R. Knight,male,,homosexuality,,,,
1043485,Q867533,Tzipora Obziler,female,,lesbianism,,,,
1043979,Q4756289,Andrew Barr,male,,homosexuality,,,,
1044863,Q21294609,Sébastien Chenu,male,,homosexuality,,,,
1045737,Q555,Rachel Maddow,female,,lesbianism,,,,
1047467,Q28741851,Chris Goode,male,,non-heterosexuality,,,,
1048331,Q485310,Neil Patrick Harris,male,,homosexuality,,,,
1048797,Q4346087,Shappi Khorsandi,female,,bisexuality,,,,
1048982,Q5980498,Iain Lee,male,,bisexuality,,,,
1049105,Q6959303,Nahnatchka Khan,female,,gay,,,,
1049602,Q16641955,Toñi Moreno,female,,lesbianism,,,,
1050671,Q192402,Rufus Wainwright,male,,homosexuality,,,,
1050772,Q512307,Camilla Andersen,female,,lesbianism,,,,
1050989,Q2254708,Bruno De Lille,male,,gay,,,,
1051114,Q3391364,Daniel Evans,male,,homosexuality,,,,
1053169,Q307988,Abdellah Taïa,male,,gay,,,,
1053192,Q367332,Latasha Byears,female,,lesbianism,,,,
1053360,Q1253845,J. August Richards,male,,homosexuality,,,,
1053864,Q5231782,David Bromstad,male,,homosexuality,,,,
1056013,Q3047551,Edgars Rinkēvičs,male,,homosexuality,,,,
1057708,Q76364147,Imran Ahmad Khan,male,,homosexuality,,,,
1058243,Q1581746,Hans Peter Minderhoud,male,,homosexuality,,,,
1058359,Q2595856,Alessandro Zan,male,,homosexuality,,,,
1061054,Q5562912,Gina Parody,female,,lesbianism,,,,
1062820,Q1190037,Wilson Cruz,male,,gay,,,,
1065346,Q1338610,Maulik Pancholy,male,,homosexuality,,,,
1066475,Q4741233,Amber Dawn,female,,non-heterosexuality,,,,
1067455,Q6964613,Naomi Alderman,female,,non-heterosexuality,,,,
1069717,Q19301892,Sònia Moll Gamboa,female,,homosexuality,,,,
1070184,Q21512065,Sonia Sebastian,female,,lesbianism,,,,
1073373,Q63929432,Louis Stedman-Bryce,male,,homosexuality,,,,
1073777,Q70164220,Rose Garcia,female,,lesbianism,,,,
1074980,Q84154117,Anne Pauly,female,,lesbianism,,,,
1078508,Q64463,Franck Riester,male,,homosexuality,,,,
1078593,Q455918,Jason Ricci,male,,bisexuality,,,,
1078625,Q597637,Ari Gold,male,,gay,,,,
1078647,Q716158,Ivri Lider,male,,homosexuality,,,,
1078888,Q2971799,Jillian Michaels,female,,lesbianism,,,,
1079865,Q20070209,Edward Tarletski,male,,homosexuality,,,,
1080839,Q507574,Scott Mills,male,,gay,,,,
1080845,Q519210,Jean Wyllys,male,,gay,,,,
1081402,Q4779594,Ada Colau,female,,bisexuality,,,,
1081578,Q6108366,Ricardo Morán,male,,homosexuality,,,,
1082212,Q16996758,Daniele Viotti,male,,gay,,,,
1083352,Q449634,Da Brat,female,,non-heterosexuality,,,,
1083603,Q2094353,Slava Mogutin,male,,homosexuality,,,,
1084016,Q5578020,Gok Wan,male,,gay,,,,
1084080,Q6178501,Jennifer Knapp,female,,lesbianism,,,,
1084734,Q17581478,Kanchi Wichmann,female,,lesbianism,,,,
1084767,Q19267935,Hanna Gill-Piątek,female,,bisexuality,,,,
1085448,Q77361373,Shannon Michael Cane,male,,gay,,,,
1086054,Q2061825,Paul Reeves,male,,homosexuality,,,,
1088346,Q461851,FannyAnn Eddy,female,,lesbianism,,,,
1088709,Q3343310,Non Evans,female,,gay,,,,
